Time,V_in,V_out
2.250000000000001,1.0,-0.14721040403220975
2.260000000000001,1.0,-0.144345959892557
2.2700000000000014,1.0,-0.14148866789915945
2.280000000000001,1.0,-0.13863851019550555
2.290000000000001,1.0,-0.1357954689699891
2.300000000000001,1.0,-0.13295952645578965
2.3100000000000014,1.0,-0.13013066493075312
2.320000000000001,1.0,-0.12730886671727154
2.330000000000001,1.0,-0.12449411418216291
2.340000000000001,1.0,-0.12168638973655184
2.3500000000000014,1.0,-0.11888567583574976
2.360000000000001,1.0,-0.11609195497913488
2.370000000000001,1.0,-0.11330520971003216
2.3800000000000012,1.0,-0.11052542261559367
2.3900000000000015,1.0,-0.107752576326679
2.4000000000000012,1.0,-0.1049866535177352
2.410000000000001,1.0,-0.10222763690667665
2.4200000000000013,1.0,-0.09947550925476555
2.4300000000000015,1.0,-0.09673025336649223
2.4400000000000013,1.0,-0.09399185208945512
2.450000000000001,1.0,-0.09126028831419672
2.4600000000000013,1.0,-0.08853554495445017
2.4700000000000015,1.0,-0.08581760496684886
2.4800000000000013,1.0,-0.08310645136521419
2.490000000000001,1.0,-0.08040206720559015
2.5000000000000013,1.0,-0.07770443558611714
2.5100000000000016,1.0,-0.07501353964690582
2.5200000000000014,1.0,-0.07232936256991034
2.530000000000001,1.0,-0.06965188757880163
2.5400000000000014,1.0,-0.06698109793884136
2.5500000000000016,1.0,-0.06431697695675558
2.5600000000000014,1.0,-0.06165950798060808
2.570000000000001,1.0,-0.05900867439967371
2.5800000000000014,1.0,-0.056364459644312234
2.5900000000000016,1.0,-0.05372684718584202
2.6000000000000014,1.0,-0.051095820536413386
2.610000000000001,1.0,-0.048471363248882016
2.6200000000000014,1.0,-0.04585345891668261
2.6300000000000017,1.0,-0.043242091173702785
2.6400000000000015,1.0,-0.04063724369415633
2.6500000000000012,1.0,-0.038038900192456565
2.6600000000000015,1.0,-0.035447044423090115
2.6700000000000017,1.0,-0.03286166018049071
2.6800000000000015,1.0,-0.030282731298912464
2.6900000000000013,1.0,-0.027710241652303277
2.7000000000000015,1.0,-0.02514417515417857
2.7100000000000017,1.0,-0.022584515757495077
2.7200000000000015,1.0,-0.020031247454524174
2.7300000000000013,1.0,-0.01748435429057635
2.7400000000000015,1.0,-0.014943820409782274
2.7500000000000018,1.0,-0.012409629943242122
2.7600000000000016,1.0,-0.009881767052671353
2.7700000000000014,1.0,-0.007360215939222821
2.7800000000000016,1.0,-0.0048449608433779046
2.790000000000002,1.0,-0.002335986044837382
2.8000000000000016,1.0,0.00016672413758786475
2.8100000000000014,1.0,0.0026631853460863525
2.8200000000000016,1.0,0.005153413183954909
2.830000000000002,1.0,0.007637423215707748
2.8400000000000016,1.0,0.010115230967185793
2.8500000000000014,1.0,0.012586851925666172
2.8600000000000017,1.0,0.015052301539971148
2.870000000000002,1.0,0.01751159522057716
2.8800000000000017,1.0,0.019964748339724156
2.8900000000000015,1.0,0.022411776231525116
2.9000000000000017,1.0,0.024852694192074948
2.910000000000002,1.0,0.027287517479559528
2.9200000000000017,1.0,0.029716261314365097
2.9300000000000015,1.0,0.03213894087918768
2.9400000000000017,1.0,0.034555571319142074
2.950000000000002,1.0,0.03696616774187083
2.9600000000000017,1.0,0.03937074521765368
2.9700000000000015,1.0,0.041769318779516944
2.9800000000000018,1.0,0.044161903423342516
2.990000000000002,1.0,0.04654851410797687
3.0000000000000018,-1.0,0.04892916320670355
3.0100000000000016,-1.0,0.04631011757838268
3.020000000000002,-1.0,0.0436976092813519
3.030000000000002,-1.0,0.04109162409773528
3.040000000000002,-1.0,0.038492145738929416
3.0500000000000016,-1.0,0.035899157958408486
